#,Symbol,Trades,Profit Trades %,Total Profit $,Profit Factor,Max Drawdown %
583,PNQI,105,76,145747,3.02,0.00
584,RCD,105,76,25957,1.17,1.00
585,REMX,105,55,-106883,0.59,1.00
586,RHS,105,81,81322,3.26,0.00
587,SRTY,105,62,-47441,0.87,1.00
588,UCO,105,61,-177768,0.70,4.00
589,UTIW,105,73,111215,1.54,1.00
590,VIG,105,70,46602,1.67,0.00
591,XTL,105,69,44850,1.48,0.00
592,YINN,105,68,43749,1.11,1.00
593,DTD,104,71,54651,1.83,0.00
594,EIDO,104,68,20389,1.14,1.00
595,EPHE,104,70,1231,1.01,0.00
596,EWX,104,62,-27258,0.81,0.00
597,FXS,104,66,12719,1.20,0.00
598,FXU,104,74,50888,1.68,0.00
599,JJP,104,63,34256,1.33,0.00
600,JKI,104,74,-6502,0.95,1.00
601,MGC,104,78,68306,2.10,0.00
602,MGK,104,75,88446,2.11,0.00
603,PIE,104,70,5504,1.04,0.00
604,PSCF,104,74,59518,1.56,0.00
605,PSCM,104,65,11928,1.08,1.00
606,RGI,104,72,37622,1.33,1.00
607,SMI,104,63,-19051,0.94,1.00
608,SPIP,104,78,19973,1.85,0.00
609,SPMD,104,70,-115874,0.66,2.00
610,STS,104,68,123409,1.52,1.00
611,TAGS,104,66,130928,2.72,0.00
612,UAG,104,65,60813,1.59,0.00
613,VSS,104,66,28099,1.27,0.00
614,VT,104,73,90895,2.40,0.00
615,AADR,103,79,67110,1.88,0.00
616,BIV,103,66,1160,1.04,0.00
617,CHIQ,103,62,-9085,0.94,1.00
618,FNI,103,66,88816,1.72,0.00
619,GDXJ,103,69,138247,1.77,0.00
620,HSH,103,74,37849,1.29,0.00
621,JKD,103,83,76128,2.46,0.00
622,NXTG,103,72,85503,2.67,0.00
623,SBM,103,62,6515,1.06,0.00
624,SCHE,103,72,47887,1.58,0.00
625,SIVR,103,64,11492,1.09,0.00
626,SLVP,103,72,94204,1.55,0.00
627,UGA,103,69,-11628,0.96,1.00
628,USL,103,60,-80270,0.69,2.00
629,XMPT,103,56,-49787,0.43,1.00
630,BIB,102,73,241531,2.35,1.00
631,BTF,102,67,10201,1.08,0.00
632,CQQQ,102,58,-2093,0.99,1.00
633,EPIQ,102,66,73868,1.38,0.00
634,EPOL,102,63,17144,1.11,1.00
635,IDX,102,65,14758,1.11,1.00
636,IGOV,102,61,-18265,0.70,0.00
637,JXI,102,70,48250,1.60,0.00
638,KBWY,102,72,22937,1.18,1.00
639,MIDU,102,78,180912,1.59,1.00
640,MSII,102,72,514756,3.30,1.00
641,RYH,102,72,72470,2.32,0.00
642,TMF,102,71,167451,2.31,0.00
643,UDOW,102,74,183326,2.23,0.00
644,VXX,102,55,-28053,0.92,1.00
645,BTAL,101,70,38174,1.54,0.00
646,EEMO,101,71,35802,1.34,0.00
647,EGPT,101,66,-11204,0.93,1.00
648,FAS,101,73,141799,1.45,1.00
649,MLN,101,58,-59470,0.35,1.00
650,PICK,101,64,-7395,0.96,1.00
651,PSR,101,70,92644,2.24,0.00
652,RESP,101,75,67486,2.01,0.00
653,TRF,101,65,84546,1.39,1.00
654,UBR,101,74,21515,1.06,1.00
655,VIXY,101,56,-62183,0.83,1.00
656,EUFN,100,72,42138,1.31,0.00
657,EWUS,100,69,5783,1.05,1.00
658,GNR,100,61,-40269,0.71,1.00
659,KBWR,100,74,74624,1.73,1.00
660,UBT,100,71,99251,2.17,0.00
661,USIG,100,68,-10753,0.73,0.00
662,AOR,99,79,59268,3.39,0.00
663,BND,99,69,5384,1.24,0.00
664,BZQ,99,53,-125064,0.74,2.00
665,CWB,99,75,27765,1.54,0.00
666,GBF,99,70,8186,1.43,0.00
667,GII,99,73,44472,1.67,0.00
668,GSP,99,55,-136260,0.48,2.00
669,ILTB,99,72,12193,1.24,0.00
670,JKE,99,75,95961,2.94,0.00
